id,first_name,last_name,cell,work,mail,notes,Active
8,Nasim,Kyle,(264) 328-7099,(869) 305-1358,"P.O. Box 284, 9377 Vel Rd.",Dick,true
9,Scooter,Sandra,(704) 958-8334,(930) 804-8668,"P.O. Box 340, 4842 Erat Av.",,true
11,Todd,William,(625) 128-2568,(256) 559-5847,421-7221 Mattis Road,,true
13,Alvin,Keely,(766) 878-7119,(562) 234-2377,330-8783 Tempor St.,,true
14,Kessie,Alisa,(324) 711-5317,(821) 852-2441,"P.O. Box 275, 6657 Dolor, Avenue",,true
15,Rowan,Lareina,(866) 485-2593,(308) 637-7488,2558 Leo. Street,,true
16,Kyra,Akeem,(547) 175-8612,(468) 439-9958,4330 Eu Avenue,,true
17,Charity,Dara,(858) 631-0094,(300) 240-4595,289 Commodo Road,,true
18,Martin,Beverly,(592) 351-7592,(276) 459-6234,Ap #755-5837 Faucibus St.,,true
19,Illiana,Chelsea,(169) 215-4045,(704) 146-4818,Ap #347-9504 Etiam Rd.,,true
20,Blaine,Declan,(420) 476-1863,(544) 502-7134,1473 Pede Street,,true
21,Leo,Abdul,(194) 640-3869,(454) 680-7753,8130 Condimentum Rd.,,true
22,Tucker,Porter,(733) 989-0672,(187) 886-2113,4790 Ut St.,,true
23,Jana,Declan,(572) 990-0056,(965) 583-4209,"P.O. Box 233, 1345 Pellentesque. St.",,true
24,Maris,Baxter,(636) 386-5961,(796) 948-2755,Ap #311-7765 Semper St.,,true
25,Lesley,Driscoll,(475) 943-2992,(775) 353-7191,"Ap #347-1607 Nec, Road",,true
26,Brett,Kaye,(383) 591-3551,(297) 635-8147,269-3231 Est Avenue,,true
27,Jessamine,Lucy,(916) 251-5064,(807) 853-1716,760-7353 Neque Ave,,true
28,Kimberly,Tate,(301) 693-5659,(583) 290-5718,Ap #665-7479 Magnis St.,,true
29,Sigourney,Meredith,(673) 334-2377,(514) 114-0320,242-5916 Eu St.,,true
31,Wylie,Hiroko,(499) 792-6625,(184) 710-2910,1787 Ac Av.,,true
32,Lynn,Gray,(369) 444-1359,(820) 953-9584,824-1567 Et Ave,,true
33,Jackson,Kennedy,(591) 887-0483,(522) 163-8505,652-8164 Sit Street,,true
34,Finn,Upton,(434) 976-9329,(471) 904-5190,Ap #109-2848 Mattis Road,Updated,true
35,Fiona,Keely,(459) 350-9077,(992) 682-0506,3768 Consectetuer Ave,,true
36,Dora,Ariel,(861) 805-0782,(329) 420-1181,2034 Fermentum St.,,true
37,Robin,Ocean,(571) 885-6609,(215) 165-7426,"P.O. Box 139, 828 Nec, Road",,true
38,Linda,Jarrod,(506) 382-0565,(641) 610-4761,"Ap #194-3247 Aliquet, Ave",,true
39,Dai,Martha,(298) 247-5624,(593) 789-0479,Ap #947-4242 Malesuada Av.,,true
40,Phyllis,Michelle,(915) 570-7247,(357) 495-1191,"P.O. Box 332, 4120 Nisi. St.",,true
41,Fiona,Xanthus,(806) 964-6840,(611) 822-8818,657-3187 Erat. St.,He is a loser,true
42,Grant,Hayes,(154) 556-2684,(826) 297-2187,"P.O. Box 703, 4533 Eu, Avenue",,true
43,Sydnee,Dorian,(923) 633-0165,(584) 398-0410,Ap #141-4917 In Ave,,true
44,Hop,Jamal,(483) 188-4247,(530) 994-1197,Ap #123-8651 Amet Av.,,true
45,Chaney,Ulla,(527) 493-7722,(400) 554-4583,Ap #281-706 Adipiscing Av.,,true
47,Kiayada,Beau,(679) 232-6148,(644) 426-3641,"791-3788 In, Road",,true
48,Rahim,Fredericka,(809) 348-7501,(841) 501-1545,"8676 Sapien, Avenue",,true
